timestamp,tweet_text,username,all_hashtags,followers_count,Extra,Extra
21/11/2019 15:04,#Uber may contribute more #transport #pollution than solution: study https://t.co/4zcFPwBSsF', erich_strasser',"['DaraKhosrowshahi', 'TravisKalanick', 'Uber']",615,,
21/11/2019 15:02,You need to flick #Uber Ed timeline. Please update us if you made it out alive. https://t.co/solXLhkuiJ', georgemink',['Uber'],87,,
21/11/2019 15:00, @posi_tiveacts @Richardwtaylors @UTAG17 @FrankBullitt39 @Anthony23Bryant @lennythepen Don\xe2\x80\x99t support a #Tax dodgers #Uber https://t.co/2jlO3DT6Ln', OneAngryGamerHD',"['Privacy', 'Uber']",10197,,
21/11/2019 14:56, Apparently 3% of all cars on the road would suffice to make all rides. In other words: 97 out of 100 cars are superfluous- provided we all share our cars all the time.  #Slush19 #mobility #Uber #sharedmobility https://t.co/cHtNb3nxt7', Abort_To_Orbit',"['Uber', 'glitches', 'Atlanta']",266,,
21/11/2019 14:55, Uber plans to start audio-recording rides in the U.S. for safety : https://t.co/lrKNXDpeGS #Uber Comments: https://t.co/GttAOfQJz3', ProTrader_Vini',"['TW0E', 'SwingTrading', 'UBER', 'Alerts']",2101,,
21/11/2019 14:51, What is #Uber Comfort? Is it worth the extra money?  https://t.co/vJ3HCPCs9y', tax1man12345',['Uber'],1485,,
21/11/2019 14:50, @Uber_Delhi booked a ride which Showed a coupon code applied while booking yet charged full fare without any discount. New rides still show discount.  #fraud #sham #Uber https://t.co/KCjHdeREUM', TechXplore_com',['Uber'],9924,,
21/11/2019 14:47, The future of #mobility according to #uber at #Slush19 in #Helsinki Is the future electric? https://t.co/5f4cX2OAay', 4xForecaster',"['CROWSignalService', 'UBER']",2588,,
21/11/2019 14:41, #Uber\xe2\x80\x99s Ousted Founder is Dumping Shares While the CEO Loads Up reported by https://t.co/QHrRjpSbqf ---- #Business_News #Dara_Khosrowshahi #Travis_Kalanick', MsCapitalMarket',"['CSE', 'investing', 'stocks', 'stockmarket', 'trading', 'investors', 'capitalmarkets', 'business', 'tech', 'technology', 'app', 'uber', 'homemaintenance', 'AI']",35470,,
21/11/2019 14:41, @drive_to_win13 Either worry bout your acceptance rate or get hustled by #uber! make a choice!', GWCLawChicago',['Uber'],2450,,
21/11/2019 14:40," Does Uber's new audio recording feature make you feel more safe? Vote now here: https://t.co/zYucS1irPV .. or on our @CBS8 app.   #Uber Background: @Uber will let passengers and drivers record audio of their rides in an attempt to improve the ride-hail company's safety record. https://t.co/EIifuiUFrg""", theUKtoday',['uber'],4132,,
21/11/2019 14:37, @VirginRadioDXB is my go to everytime I get an #uber', AvanteSecurity',"['Uber', 'AvanteSecurity', 'SecurityCompany', 'Transportation']",231,,
21/11/2019 14:37, Top things to remember when starting a #fooddeliveryapp #business.  https://t.co/BChHwqJct2 #food #appdeveloper #appdevelopment  #foodapp #foodcater #ondemandapp #ondemandfoodapp #appdevelopersindia #appdevelopersusa #mobileapps #uber #ubercatering', SMunzebrock',"['privacy', 'Uber']",248,,
21/11/2019 14:33," Its impossible to win human nature... \xe2\x80\x9cIf people are likelier to drink a lot, but less likely to drive drunk, it is hard to say what the overall public-health impact of ride-hailing firms has been.\xe2\x80\x9d - @TheEconomist #uber #lyft #DrinkingMoreOrDrivingDrunk'", JeannetteMeek12',"['dontdrinkanddrive', 'interlock', 'drinkingndriving', 'bigbrother', 'makegoodchoices', 'Uber', 'walk']",89,,
21/11/2019 14:32, Coming to a major city near you!  . . #uber #lyft #viberide #atl atlanta #miami #ftlauderdale https://t.co/YCUJoAmGrx', feligato_',['Uber'],752,,
21/11/2019 14:31," Below is an extract from @FGEnergy\'s ""Strategic Outlook for Oil"" about ride hailing from end 2017 (https://t.co/BnyYT5fuvf)   They will  - strenghthen car\'s dominant role  - increase VMT - reduce public transport use - in absence of electrification =&gt; higher oil demand  #UBER'", TechXplore_com',['Uber'],9924,,
21/11/2019 14:29, There should be an option in Uber and Lyft to select a vehicle that doesn\xe2\x80\x99t have 17 little tree air fresheners hanging from the mirror.  #Uber #Lyft', 3Xtraders',"['WeWork', 'Uber']",2286,,
21/11/2019 14:22," @kashhill This is not an OR. It's an AND. #Uber centrally recording will not stop drivers from having their own cams. A better question may be: how is Uber limiting its rights to use the footage and what's the retention policy? #privacymatters""", Bevobarolo1',"['unemployment', 'drives', 'uber', 'company', 'traffic', 'pollution']",248,,
21/11/2019 14:21, Nothing XL about this Uber XL #Uber https://t.co/5uYUbTsX6t', AlaviMosen',"['Uber', 'ridehailing', 'shared_mobility']",136,,
21/11/2019 14:20, If you want to take a #FREE ride or food with #Uber \xf0\x9f\x9a\x98 or #Lyft\xf0\x9f\x8e\x88  I HAVE #PROMO #CODES FOR YOU  #UberEATS\xf0\x9f\x8d\xbd: EATS-MIGUELT10  LYFT\xf0\x9f\x8e\x88: MIGUELT', ClaimShare',"['uber', 'privacyclaim', 'yetanotherprivacyclaim']",183,,
21/11/2019 14:18, #Uber will reportedly allow drivers and passengers audio-record rides. Our A+ panel discusses what could go wrong. https://t.co/oq4HOY7G0d #ChasingNews @BillSpadea @MattRooneyNJ @Yunus_Law https://t.co/uQNGwJN4Q , qwikad',"['AdvertiseForFree', 'Attn', 'Uber', 'Lyft', 'Drivers', 'Make', 'Extra', 'Money']",93127,,
21/11/2019 14:18," .@TWUAus has presented #Uber and #Deliveroo with a Charter of Rights for food delivery riders, which includes:  \xf0\x9f\x9a\xb2Minimum rates \xf0\x9f\x9a\xb2Weekend/holiday/night work pay \xf0\x9f\x9a\xb2Algorithm transparency \xf0\x9f\x9a\xb2Bargaining on pay/safety \xf0\x9f\x9a\xb2Training  \xf0\x9f\x9a\xb2Injury insurance \xf0\x9f\x9a\xb2Bad weather allowance  #gigeconomy https://t.co/RxfhtyglOF'", RevEverett',['Uber'],5679,,
21/11/2019 14:17," I'm a student journalist looking do a documentary on the experience of Uber drivers- anyone willing to talk to me about it? #uber #drivers""", fmtoday',"['FMTNews', 'Uber']",97137,,
21/11/2019 14:14, UBER from bangalore to bangalore airport cost as much as the flight fare \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f  #uber #Airport #Uberpricing @Uber https://t.co/0HAw0T3pMa', illiotti',['Uber'],2634,,
21/11/2019 14:13, More privacy concerns: https://t.co/2M65Mqv5Be #Uber #privacy', dev_discourse',"['Uber', 'transport', 'pollution']",60611,,
21/11/2019 14:13," Interesting look at #Data correlation- After #Uber #rideshare concept arrives, heavy drinking and demand for bartenders have increased.  After Uber arrives, heavy drinking increases - Daily chart via #Economist https://t.co/FUXeJJ7V74'", bottyy',['Uber'],2325,,
21/11/2019 14:12, @EBROINTHEAM safety tip. Make sure child lock is disable. #uber', PaulDDDaughters',"['Tax', 'Uber']",2221,,
21/11/2019 14:11, #LetsTalkMoney What people do for money #Uber https://t.co/f6O2gxixL6', BenjaminBathke',"['Slush19', 'mobility', 'Uber', 'sharedmobility']",2157,,
21/11/2019 14:10, 3 hour sleep and the Uber driver is blasting 90s dance music. We are just not on the same level today #uber https://t.co/KfeIh2wFXi', hacker_news_hir',['Uber'],287,,
21/11/2019 14:08, @UberINSupport Leave it! No definite options available. You can address the issue based on my feedback or just leave it #Uber #LazyCustomerService @Uber_Support', ride_guru',['Uber'],3074,,
21/11/2019 14:07, Uber Testing Controversial Audio-Recording Feature As Privacy Concerns Rise #Uber https://t.co/6wfQeKhS6L', avinashiitd',"['fraud', 'sham', 'Uber']",1542,,
21/11/2019 14:06," Sat having a beer in Brussels... thought I would check the Uber App and found I can book one.  So, how is this App legally working in the UK and Belgium under different regulations, yet I didnt have to agree to any changes in terms and conditions or contractual rights?  #Uber'", SusanFourtane',"['mobility', 'uber', 'Slush19', 'Helsinki']",4126,,
21/11/2019 14:05," #Uber fix your damn gps. Your cars stop 1/2 up block, in back lane and now the latest up and around the corner on a completely different street.'", PaulESamson',"['Uber', 'Business_News', 'Dara_Khosrowshahi', 'Travis_Kalanick']",4133,,
21/11/2019 14:04," #Uber's losses are the stuff of Silicon Valley legend, but what worked as a #startup doesn't carry over welll into the public market. We analyzed Uber's business model to see how it makes (and spends) its money: https://t.co/yWSnrZyigI""", ElCorre80232312',['uber'],244,,
21/11/2019 14:03," Serene Mid-Century House in San Francisco \xc2\xb7 3 Beds \xc2\xb7 2 Baths \xc2\xb7 1,406 Sqft \xc2\xb7 1 Parking Space, https://t.co/KVcBL8YGif 866-440-6700.  #uber #uberrealestate #realestate https://t.co/kt9jiW0b0Y'", EricNews8',['Uber'],2647,,
21/11/2019 13:58," #Uber embraces in-car videotaping for ongoing rides to capture more data, raises privacy concerns: https://t.co/kcfkId910K via @nytimes https://t.co/aMePQEmvpa'", ParisEYoung',['uber'],892,,
21/11/2019 13:50," Now drive 60% more business by allowing your customers to book their ride online. #Uber like #Appsolution is the new way for booking and riding through cab. See, our new blog about the #features one can get after developing taxi app. #usa #sales #b2b https://t.co/EqTJI8mnfx https://t.co/BOfwxbscLg'", OliviaS97037757',"['fooddeliveryapp', 'business', 'food', 'appdeveloper', 'appdevelopment', 'foodapp', 'foodcater', 'ondemandapp', 'ondemandfoodapp', 'appdevelopersindia', 'appdevelopersusa', 'mobileapps', 'uber', 'ubercatering']",4242,,
21/11/2019 13:47, I don\xe2\x80\x99t appreciate seeing this on @Uber ride. I wonder what causes the driver to put up this ugly box? #Uber https://t.co/vEwAjqaQnm', alexsnurnikov',"['uber', 'lyft', 'DrinkingMoreOrDrivingDrunk']",785,,
21/11/2019 13:47, #Uber to test recording audio of trips in effort to improve #security https://t.co/QGco85bpKZ', TravelWithKeO',"['uber', 'lyft', 'viberide', 'atl', 'miami', 'ftlauderdale']",3443,,
21/11/2019 13:46," Uber plans to record audio during your drive. It's being tested out in Latin America next month. No word on when we could see it in the U.S. Click on the article to read why #Uber is making the move.  What do you think about it?  https://t.co/Iidi0ePOri""", ckazok',['UBER'],1790,,
21/11/2019 13:46, So I took my first #Uber today and the main question is: do you talk to the driver?', AndyDelaup',"['Uber', 'Lyft']",246,,
21/11/2019 13:45," Tempe Apartments without resident parking #light rail, #buses and rides with #Uber or #Lyft   https://t.co/qcq4vEMS1p'", Privacy4Cars',"['Uber', 'privacymatters']",268,,
21/11/2019 13:44, #Uber will soon record audio on trips for safety purposes #SlashGear   @slashgear https://t.co/qpKGM3we1c', The_IdeaGuy',['Uber'],145,,
21/11/2019 13:40, How do schedule a ride but you still take 10 minutes to come out? #uber', DealsHeaven4u',"['FREE', 'Uber', 'Lyft', 'PROMO', 'CODES', 'UberEATS']",1071,,
21/11/2019 13:40," The Lessons We Learned from the Latest Batch of Unicorn IPOs Like #Uber, #Lyft and #Peloton - FORTUNE https://t.co/IjeqgZY0Ud #TechJunkieNews https://t.co/tH0DaRtImi'", ChasingNews',"['Uber', 'ChasingNews']",11167,,
